game_version,mod_version,file_id,uploaded_at,file_name,file_url
"1.19.4","4.13.0","4820062","Oct 28, 2023","SuperFactoryManager-1.19.4-4.13.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4820062"
"1.19.2","4.13.0","4820051","Oct 28, 2023","SuperFactoryManager-1.19.2-4.13.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4820051"
"1.20","4.12.0","4659329","Jul 23, 2023","Super Factory Manager-1.20-4.12.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4659329"
"1.19.4","4.12.0","4659328","Jul 23, 2023","SuperFactoryManager-1.19.4-4.12.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4659328"
"1.19.2","4.12.0","4659327","Jul 23, 2023","SuperFactoryManager-1.19.2-4.12.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4659327"
"1.20","4.11.0","4643282","Jul 14, 2023","Super Factory Manager-1.20-4.11.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4643282"
"1.19.4","4.11.0","4643280","Jul 14, 2023","SuperFactoryManager-1.19.4-4.11.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4643280"
"1.19.2","4.11.0","4643279","Jul 14, 2023","SuperFactoryManager-1.19.2-4.11.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4643279"
"1.20","4.10.3","4594366","Jun 18, 2023","Super Factory Manager-1.20-4.10.3.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4594366"
"1.19.4","4.10.3","4594365","Jun 18, 2023","SuperFactoryManager-1.19.4-4.10.3.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4594365"
"1.19.2","4.10.3","4594364","Jun 18, 2023","SuperFactoryManager-1.19.2-4.10.3.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4594364"
"1.20","4.10.2","4581173","Jun 11, 2023","Super Factory Manager-1.20-4.10.2.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4581173"
"1.19.4","4.10.2","4577329","Jun 10, 2023","SuperFactoryManager-1.19.4-4.10.2.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4577329"
"1.19.2","4.10.2","4577328","Jun 10, 2023","SuperFactoryManager-1.19.2-4.10.2.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4577328"
"1.19.4","4.10.1","4548731","May 23, 2023","SuperFactoryManager-1.19.4-4.10.1.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4548731"
"1.19.2","4.10.1","4548730","May 23, 2023","SuperFactoryManager-1.19.2-4.10.1.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4548730"
"1.19.4","4.10.0","4543147","May 19, 2023","SuperFactoryManager-1.19.4-4.10.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4543147"
"1.19.2","4.10.0","4543146","May 19, 2023","SuperFactoryManager-1.19.2-4.10.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4543146"
"1.19.4","4.9.0","4529402","May 9, 2023","SuperFactoryManager-1.19.4-4.9.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4529402"
"1.19.2","4.9.0","4529401","May 9, 2023","SuperFactoryManager-1.19.2-4.9.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4529401"
"1.19.4","4.8.0","4516206","May 1, 2023","SuperFactoryManager-1.19.4-4.8.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4516206"
"1.19.2","4.8.0","4516205","May 1, 2023","SuperFactoryManager-1.19.2-4.8.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4516205"
"1.19.4","4.7.3","4508648","Apr 26, 2023","SuperFactoryManager-1.19.4-4.7.3.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4508648"
"1.19.2","4.7.3","4508647","Apr 26, 2023","SuperFactoryManager-1.19.2-4.7.3.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4508647"
"1.19.4","4.7.2","4498798","Apr 20, 2023","SuperFactoryManager-1.19.4-4.7.2.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4498798"
"1.19.2","4.7.2","4498797","Apr 20, 2023","SuperFactoryManager-1.19.2-4.7.2.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4498797"
"1.19.4","4.7.1","4492504","Apr 16, 2023","SuperFactoryManager-1.19.4-4.7.1.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4492504"
"1.19.2","4.7.1","4492503","Apr 16, 2023","SuperFactoryManager-1.19.2-4.7.1.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4492503"
"1.19.4","4.7.0","4489707","Apr 14, 2023","SuperFactoryManager-1.19.4-4.7.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4489707"
"1.19.2","4.7.0","4489702","Apr 14, 2023","SuperFactoryManager-1.19.2-4.7.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4489702"
"1.19.2","4.6.1","4483644","Apr 10, 2023","SuperFactoryManager-1.19.2-4.6.1.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4483644"
