"game","mod","page","downloadUrl"
"1.20.2","4.23.0","2","https://cdn.modrinth.com/data/aecUorJQ/versions/7syQ4emF/Super%20Factory%20Manager%20%28SFM%29-MC1.20.2-4.23.0.jar"
"1.20.1","4.23.0","2","https://cdn.modrinth.com/data/aecUorJQ/versions/WMJz8yOv/Super%20Factory%20Manager%20%28SFM%29-MC1.20.1-4.23.0.jar"
"1.20","4.23.0","2","https://cdn.modrinth.com/data/aecUorJQ/versions/iNZnLzTg/Super%20Factory%20Manager%20%28SFM%29-MC1.20-4.23.0.jar"
"1.19.4","4.23.0","2","https://cdn.modrinth.com/data/aecUorJQ/versions/Ki6aZ81W/Super%20Factory%20Manager%20%28SFM%29-MC1.19.4-4.23.0.jar"
"1.19.2","4.23.0","2","https://cdn.modrinth.com/data/aecUorJQ/versions/huVhzwtv/Super%20Factory%20Manager%20%28SFM%29-MC1.19.2-4.23.0.jar"
"1.21.1","4.22.0","2","https://cdn.modrinth.com/data/aecUorJQ/versions/DoiGMxgk/Super%20Factory%20Manager%20%28SFM%29-MC1.21.1-4.22.0.jar"
"1.21","4.22.0","2","https://cdn.modrinth.com/data/aecUorJQ/versions/7RFOnVgf/Super%20Factory%20Manager%20%28SFM%29-MC1.21-4.22.0.jar"
"1.20.4","4.22.0","2","https://cdn.modrinth.com/data/aecUorJQ/versions/gT06gA2S/Super%20Factory%20Manager%20%28SFM%29-MC1.20.4-4.22.0.jar"
"1.20.3","4.22.0","2","https://cdn.modrinth.com/data/aecUorJQ/versions/36gkt0xD/Super%20Factory%20Manager%20%28SFM%29-MC1.20.3-4.22.0.jar"
"1.20.2","4.22.0","3","https://cdn.modrinth.com/data/aecUorJQ/versions/tIy4mLXV/Super%20Factory%20Manager%20%28SFM%29-MC1.20.2-4.22.0.jar"
"1.20.1","4.22.0","3","https://cdn.modrinth.com/data/aecUorJQ/versions/xodV1OIC/Super%20Factory%20Manager%20%28SFM%29-MC1.20.1-4.22.0.jar"
"1.20","4.22.0","3","https://cdn.modrinth.com/data/aecUorJQ/versions/aLqfHjQN/Super%20Factory%20Manager%20%28SFM%29-MC1.20-4.22.0.jar"
"1.19.4","4.22.0","3","https://cdn.modrinth.com/data/aecUorJQ/versions/ZeNLunYv/Super%20Factory%20Manager%20%28SFM%29-MC1.19.4-4.22.0.jar"
"1.19.2","4.22.0","3","https://cdn.modrinth.com/data/aecUorJQ/versions/zY0oVUSx/Super%20Factory%20Manager%20%28SFM%29-MC1.19.2-4.22.0.jar"
"1.21.1","4.21.0","3","https://cdn.modrinth.com/data/aecUorJQ/versions/gfscG4pO/Super%20Factory%20Manager%20%28SFM%29-MC1.21.1-4.21.0.jar"
"1.21","4.21.0","3","https://cdn.modrinth.com/data/aecUorJQ/versions/wC9cVxm8/Super%20Factory%20Manager%20%28SFM%29-MC1.21-4.21.0.jar"
"1.20.4","4.21.0","3","https://cdn.modrinth.com/data/aecUorJQ/versions/9jN6FIYS/Super%20Factory%20Manager%20%28SFM%29-MC1.20.4-4.21.0.jar"
"1.20.3","4.21.0","3","https://cdn.modrinth.com/data/aecUorJQ/versions/yr2b0tHP/Super%20Factory%20Manager%20%28SFM%29-MC1.20.3-4.21.0.jar"
"1.20.2","4.21.0","3","https://cdn.modrinth.com/data/aecUorJQ/versions/Q6BEmv4u/Super%20Factory%20Manager%20%28SFM%29-MC1.20.2-4.21.0.jar"
"1.20.1","4.21.0","3","https://cdn.modrinth.com/data/aecUorJQ/versions/noCrRf8W/Super%20Factory%20Manager%20%28SFM%29-MC1.20.1-4.21.0.jar"
"1.20","4.21.0","3","https://cdn.modrinth.com/data/aecUorJQ/versions/8QCMMlMW/Super%20Factory%20Manager%20%28SFM%29-MC1.20-4.21.0.jar"
"1.19.4","4.21.0","3","https://cdn.modrinth.com/data/aecUorJQ/versions/ioYByhKp/Super%20Factory%20Manager%20%28SFM%29-MC1.19.4-4.21.0.jar"
"1.19.2","4.21.0","3","https://cdn.modrinth.com/data/aecUorJQ/versions/yXUMT0HF/Super%20Factory%20Manager%20%28SFM%29-MC1.19.2-4.21.0.jar"
"1.21.1","4.20.0","3","https://cdn.modrinth.com/data/aecUorJQ/versions/bjvX50O3/Super%20Factory%20Manager%20%28SFM%29-MC1.21.1-4.20.0.jar"
"1.21","4.20.0","3","https://cdn.modrinth.com/data/aecUorJQ/versions/EJmoOQe5/Super%20Factory%20Manager%20%28SFM%29-MC1.21-4.20.0.jar"
"1.20.4","4.20.0","3","https://cdn.modrinth.com/data/aecUorJQ/versions/9YwfcyEQ/Super%20Factory%20Manager%20%28SFM%29-MC1.20.4-4.20.0.jar"
"1.20.3","4.20.0","3","https://cdn.modrinth.com/data/aecUorJQ/versions/oY2lCaub/Super%20Factory%20Manager%20%28SFM%29-MC1.20.3-4.20.0.jar"
"1.20.2","4.20.0","3","https://cdn.modrinth.com/data/aecUorJQ/versions/3yiOhpjo/Super%20Factory%20Manager%20%28SFM%29-MC1.20.2-4.20.0.jar"
"1.20.1","4.20.0","3","https://cdn.modrinth.com/data/aecUorJQ/versions/3UO177OB/Super%20Factory%20Manager%20%28SFM%29-MC1.20.1-4.20.0.jar"
